LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,kill_rate,block_initial,simday,mass_llins_fund
Tudun Wada,Gwarzo,2022,Tudun Wada,0.8,0.8,0.8,0.8,1,august,0.765017665,0.751546749,0.908462443,953,PBO (2021)
Tudun Wada,Gwarzo,2025,Tudun Wada,0.8,0.8,0.8,0.8,2,august,0.765017665,0.751546749,0.908462443,2048,PBO (2021)
Tudun Wada,Gwarzo,2028,Tudun Wada,0.8,0.8,0.8,0.8,3,august,0.765017665,0.751546749,0.908462443,3143,PBO (2021)
Tureta,Birnin Kebbi,2020,Tureta,0.8,0.8,0.8,0.8,1,august,0.792046748,0.751736265,0.919966046,223,PBO (2021)
Tureta,Birnin Kebbi,2023,Tureta,0.8,0.8,0.8,0.8,2,august,0.792046748,0.751736265,0.919966046,1318,PBO (2021)
Tureta,Birnin Kebbi,2026,Tureta,0.8,0.8,0.8,0.8,3,august,0.792046748,0.751736265,0.919966046,2413,PBO (2021)
Tureta,Birnin Kebbi,2029,Tureta,0.8,0.8,0.8,0.8,4,august,0.792046748,0.751736265,0.919966046,3508,PBO (2021)
Udenu,Uzo-Uwani,2020,Udenu,0.8,0.8,0.8,0.8,1,june,0.38139738,0.738269967,0.65,162,PBO (2021)
Udenu,Uzo-Uwani,2023,Udenu,0.8,0.8,0.8,0.8,2,june,0.38139738,0.738269967,0.65,1257,PBO (2021)
Udenu,Uzo-Uwani,2026,Udenu,0.8,0.8,0.8,0.8,3,june,0.38139738,0.738269967,0.65,2352,PBO (2021)
Udenu,Uzo-Uwani,2029,Udenu,0.8,0.8,0.8,0.8,4,june,0.38139738,0.738269967,0.65,3447,PBO (2021)
Udi,Uzo-Uwani,2020,Udi,0.8,0.8,0.8,0.8,1,june,0.379547492,0.738059966,0.65,162,PBO (2021)
Udi,Uzo-Uwani,2023,Udi,0.8,0.8,0.8,0.8,2,june,0.379547492,0.738059966,0.65,1257,PBO (2021)
Udi,Uzo-Uwani,2026,Udi,0.8,0.8,0.8,0.8,3,june,0.379547492,0.738059966,0.65,2352,PBO (2021)
Udi,Uzo-Uwani,2029,Udi,0.8,0.8,0.8,0.8,4,june,0.379547492,0.738059966,0.65,3447,PBO (2021)
