,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
340,Soba,Soba,0.525,0.357142857,0.260869565,0.457627119
341,Zango-Kataf,Soba,0.44909474,0.414473139,0.26251721,0.366416238
342,Zaria,Soba,0.5,0.516129032,0.233333333,0.485714286
343,Kaduna South,Soba,0.44909474,0.414473139,0.26251721,0.366416238
344,Bichi,Gwarzo,0.420322503,0.246546353,0.19216149,0.376232249
345,Ajingi,Taura,0.53646592,0.440114892,0.368967436,0.583396689
346,Albasu,Takali,0.400642128,0.283668296,0.217614664,0.436970727
347,Bagwai,Babura,0.551724138,0.260869565,0.166666667,0.525423729
348,Bebeji,Gwarzo,0.509433962,0.290322581,0.34375,0.446153846
349,Dambatta,Babura,0.375325174,0.214522186,0.126023075,0.350839769
350,Dawakin Kudu,Gwarzo,0.420322503,0.246546353,0.19216149,0.376232249
351,Dawakin Tofa,Taura,0.53646592,0.440114892,0.368967436,0.583396689
