LGA,pop,anc_total,preg_llin,coverage,block_initial,kill_rate,simday,duration,year,type
Bomadi,126443.02,5869,693,0.118078,0.53,0.29598519,2920,-1,2018,antenatal
Bonny,321667.72,3079,88,0.028581,0.53,0.310050826,2920,-1,2018,antenatal
Borgu,256854.12,28130,8548,0.303875,0.53,0.406785099,2920,-1,2018,antenatal
Boripe,203078.78,5560,1212,0.217986,0.53,0.422477334,2920,-1,2018,antenatal
Bosso,220101.57,28596,7038,0.246118,0.53,0.500669413,2920,-1,2018,antenatal
Brass,260778.17,5271,207,0.039271,0.53,0.352505409,2920,-1,2018,antenatal
Buji,137218.96,23604,5175,0.219243,0.53,0.694143703,2920,-1,2018,antenatal
Bukkuyum,308844.42,14243,2907,0.2041,0.53,0.665017493,2920,-1,2018,antenatal
Bungudu,376388.49,45684,10393,0.227498,0.53,0.706022165,2920,-1,2018,antenatal
Bunkure,252303.37,31242,6238,0.199667,0.53,0.698564959,2920,-1,2018,antenatal
Bunza,175202.72,12810,1456,0.113661,0.53,0.650932828,2920,-1,2018,antenatal
Bursari,164893.86,10932,2294,0.209843,0.53,0.663861803,2920,-1,2018,antenatal
Buruku,290457.43,5077,1669,0.328737,0.53,0.440865552,2920,-1,2018,antenatal
Burutu,305973.9,3405,792,0.232599,0.53,0.305581011,2920,-1,2018,antenatal
