"","LGA","p_test","se","Number of Participants"
"401","Lokoja",0.192544588006766,0.184916282615093,10
"402","Machina",0.130972695868213,0.0606541225171882,97
"403","Magama",0.771033645496786,0.0743447194781875,31
"404","Mai'Adua",0,0,10
"405","Maiduguri",0,0,64
"406","Maigatari",0.146936736172597,0.146733039562116,5
"407","Maiha",0.555555555555556,0,6
"408","Maiyama",0.75,0,9
"409","Makoda",0.5,0,3
"410","Makurdi",0.0329881367256069,0.0334539091038866,34
"411","Malam Madori",0,0,4
"412","Malumfashi",0,0,5
"413","Mangu",0.134348677107122,0.0478475093817472,24
"414","Mani",0.221716341412889,0.11498143937063,37
"415","Maradun",0.621477518974909,0.0689467027048044,21
"416","Mariga",0.727272727272727,2.08166817117217e-17,10
"417","Mashi",0.333333333333333,2.77555756156289e-17,3
"418","Matazuu",0.25,2.77555756156289e-17,4
"419","Mayo-Belwa",0,0,1
"420","Mbaitoli",0,0,12
"421","Mbo",0.5,0,3
"422","Michika",0,0,4
"423","Miga",0.571428571428572,4.16333634234433e-17,9
"424","Minjibir",0.540372780113031,0.2029437043746,13
"425","Misau",0.10188395549827,0.0853655990189852,8
"426","Mkpat Enin",0.168674650249371,0.181234170335882,7
"427","Moba",0.520617213201031,0.0949645195479859,5
"428","Mobbar",0.430547435447398,0.117433790551348,5
"429","Mokwa",0.181216392142883,0.081117671933831,21
"430","Moro",0,0,4
"431","Mubi North",0,0,24
"432","Mubi South",0,0,9
"433","Musawa",0.258303492386424,0.131512001972893,26
"434","Mushin",0,0,30
"435","Muya",0.166666666666667,1.38777878078144e-17,8
"436","Nafada",0.438593771327332,0.156830364343317,8
"437","Nangere",0.0833333333333333,3.46944695195362e-18,4
"438","Nasarawa-Eggon",0.2,2.77555756156289e-17,4
"439","Nasarawa1",0,0,16
"440","Nasarawa2",0.285242544895504,0.122047792411804,10
"441","Ndokwa East",0,0,7
"442","Ndokwa West",0,0,16
"443","Nembe",0.111111111111111,3.46944695195361e-18,3
"444","Ngaski",0.291834002677376,0.0374436756605484,12
"445","Ngor-Okpala",0,0,9
"446","Nguru",0,0,14
"447","Ningi",0.377587408985325,0.0790063860075782,32
"448","Njaba",0.113222516881887,0.0513451261866679,7
"449","Njikoka",0.248785004008713,0.235126722214293,12
"450","Nkanu East",0.418866272885457,0.0955158519593485,20
"451","Nkanu West",0.454545454545455,2.08166817117217e-17,13
"452","Nkwerre",0,0,7
"453","Nnewi South",0.0705679715663856,0.0513083513775366,12
"454","Nsit Ibom",0,0,7
"455","Nsit Ubium",0.2,2.77555756156289e-17,3
"456","Nsukka",0.0661156972521188,0.0828829531987927,8
"457","Numan",0.125,0,8
"458","Obafemi-Owode",0.363914246794809,0.0876931546313871,18
