,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
170,Gubio,Gawabawa,2023,Gubio,0.8,0.8,0.8,0.8,2,august,1318,PBO(2021),0.814426994,0.751874138,0.92834284
171,Jere,Gawabawa,2020,Jere,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.753750697,0.751459291,0.903166987
172,Jere,Gawabawa,2023,Jere,0.8,0.8,0.8,0.8,2,august,1318,PBO(2021),0.753750697,0.751459291,0.903166987
173,Guzamala,Babura,2020,Guzamala,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.777569747,0.75163814,0.914006236
174,Guzamala,Babura,2023,Guzamala,0.8,0.8,0.8,0.8,2,may,1226,PBO(2021),0.777569747,0.75163814,0.914006236
175,Hawul,Darazo,2020,Hawul,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.628168105,0.749984628,0.81702795
176,Hawul,Darazo,2023,Hawul,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.628168105,0.749984628,0.81702795
177,Kwaya Kusar,Alkaleri,2020,Kwaya Kusar,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.597977668,0.749424913,0.786370026
178,Kwaya Kusar,Alkaleri,2023,Kwaya Kusar,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.597977668,0.749424913,0.786370026
179,Enugu North,Uzo-Uwani,2020,Enugu North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.420714903,0.741984962,0.65
180,Enugu North,Uzo-Uwani,2023,Enugu North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.420714903,0.741984962,0.65
181,Kaga,Darazo,2020,Kaga,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.674887541,0.750664577,0.855863415
182,Kaga,Darazo,2023,Kaga,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.674887541,0.750664577,0.855863415
183,Mafa,Darazo,2020,Mafa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.71541858,0.751117543,0.88261584
184,Mafa,Darazo,2023,Mafa,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.71541858,0.751117543,0.88261584
185,Konduga,Darazo,2020,Konduga,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.74032898,0.751347835,0.896436989
186,Konduga,Darazo,2023,Konduga,0.8,0.8,0.8,0.8,2,july,1281,PBO(2021),0.74032898,0.751347835,0.896436989
187,Bomadi,Isoko South,2022,Bomadi,0.8,0.8,0.8,0.8,1,june,892,PBO(2021),0.197303754,0.673820546,0.65
188,Bomadi,Isoko South,2025,Bomadi,0.8,0.8,0.8,0.8,2,june,1987,PBO(2021),0.197303754,0.673820546,0.65
189,Magumeri,Gawabawa,2020,Magumeri,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.783011005,0.7516759,0.916299033
190,Magumeri,Gawabawa,2023,Magumeri,0.8,0.8,0.8,0.8,2,august,1318,PBO(2021),0.783011005,0.7516759,0.916299033
