adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Jigawa,Sule-Tankarkar,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Sule-Tankarkar,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Taura,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Jigawa,Taura,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Jigawa,Taura,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Jigawa,Taura,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Jigawa,Yankwashi,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Jigawa,Yankwashi,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Jigawa,Yankwashi,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Jigawa,Yankwashi,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Jigawa,Kiyawa,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Jigawa,Kiyawa,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Jigawa,Kiyawa,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Jigawa,Kiyawa,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Kano,Ajingi,SMC,Taura,july,550,2021,1,-1,1,0.6,5
Kano,Ajingi,SMC,Taura,july,580,2021,2,-1,1,0.6,5
Kano,Ajingi,SMC,Taura,july,610,2021,3,-1,1,0.6,5
Kano,Ajingi,SMC,Taura,july,640,2021,4,-1,1,0.6,5
Kano,Albasu,SMC,Takali,september,610,2021,1,-1,1,0.6,5
Kano,Albasu,SMC,Takali,september,640,2021,2,-1,1,0.6,5
Kano,Albasu,SMC,Takali,september,670,2021,3,-1,1,0.6,5
Kano,Albasu,SMC,Takali,september,700,2021,4,-1,1,0.6,5
Kano,Bagwai,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Kano,Bagwai,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Kano,Bagwai,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Kano,Bagwai,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Kano,Bebeji,SMC,Gwarzo,august,579,2021,1,-1,1,0.6,5
Kano,Bebeji,SMC,Gwarzo,august,609,2021,2,-1,1,0.6,5
Kano,Bebeji,SMC,Gwarzo,august,639,2021,3,-1,1,0.6,5
Kano,Bebeji,SMC,Gwarzo,august,669,2021,4,-1,1,0.6,5
Kano,Bichi,SMC,Gwarzo,august,579,2021,1,-1,1,0.6,5
Kano,Bichi,SMC,Gwarzo,august,609,2021,2,-1,1,0.6,5
Kano,Bichi,SMC,Gwarzo,august,639,2021,3,-1,1,0.6,5
Kano,Bichi,SMC,Gwarzo,august,669,2021,4,-1,1,0.6,5
Kano,Bunkure,SMC,Gwarzo,august,579,2021,1,-1,1,0.6,5
Kano,Bunkure,SMC,Gwarzo,august,609,2021,2,-1,1,0.6,5
Kano,Bunkure,SMC,Gwarzo,august,639,2021,3,-1,1,0.6,5
Kano,Bunkure,SMC,Gwarzo,august,669,2021,4,-1,1,0.6,5
Kano,Dala,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Kano,Dala,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Kano,Dala,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Kano,Dala,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Kano,Dambatta,SMC,Babura,may,488,2021,1,-1,1,0.6,5
Kano,Dambatta,SMC,Babura,may,518,2021,2,-1,1,0.6,5
Kano,Dambatta,SMC,Babura,may,548,2021,3,-1,1,0.6,5
Kano,Dambatta,SMC,Babura,may,578,2021,4,-1,1,0.6,5
Kano,Dawakin Kudu,SMC,Gwarzo,august,579,2021,1,-1,1,0.6,5
Kano,Dawakin Kudu,SMC,Gwarzo,august,609,2021,2,-1,1,0.6,5
Kano,Dawakin Kudu,SMC,Gwarzo,august,639,2021,3,-1,1,0.6,5
Kano,Dawakin Kudu,SMC,Gwarzo,august,669,2021,4,-1,1,0.6,5
