LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Ikeduru,Ngor-Okpala,0.24166041,0.24166041,0.637,0,-1,2018
Ikeja,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Ikenne,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ikere,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ikole,Oke-Ero,0.034226885,0.034226885,0.637,0,-1,2018
Ikom,Obubra,0.533126737,0.533126737,0.637,0,-1,2018
Ikono,Ngor-Okpala,0.65,0.65,0.637,0,-1,2018
Ikorodu,Uzo-Uwani,0.207359699,0.207359699,0.637,0,-1,2018
Ikot Abasi,Nsit Ubium,0.65,0.65,0.637,0,-1,2018
Ikot Ekpene,Ngor-Okpala,0.212303837,0.212303837,0.637,0,-1,2018
Ikpoba-Okha,Uzo-Uwani,0.222470265,0.222470265,0.637,0,-1,2018
Ikwerre,Oru West,0.41533391,0.41533391,0.637,0,-1,2018
Ikwo,Obubra,0.615811845,0.615811845,0.637,0,-1,2018
Ikwuano,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ila,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ilaje,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ilemeji,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ile-Oluji-Okeigbo,Oke-Ero,0.577777777,0.577777777,0.637,0,-1,2018
Ilesha East,Owan East,0.65,0.65,0.637,0,-1,2018
Ilesha West,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Illela,Gawabawa,0.030530608,0.030530608,0.637,0,-1,2018
Ilorin East,Oke-Ero,0.505611283,0.505611283,0.637,0,-1,2018
Ilorin South,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ilorin West,Owan East,0.436799947,0.436799947,0.637,0,-1,2018
Imeko-Afon,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Ingawa,Rimi,0.072222223,0.072222223,0.637,0,-1,2018
Ini,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ipokia,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Irele,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Irepo,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Irepodun1,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Irepodun2,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Irepodun-Ifelodun,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Irewole,Akinyele,0.620454618,0.620454618,0.637,0,-1,2018
Isa,Rimi,0.272994244,0.272994244,0.637,0,-1,2018
Ise-Orun,Oke-Ero,0.65,0.65,0.637,0,-1,2018
Iseyin,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ishielu,Owan East,0.305156211,0.305156211,0.637,0,-1,2018
Isiala Mbano,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Isiala-Ngwa North,Ngor-Okpala,0.441300517,0.441300517,0.637,0,-1,2018
Isiala-Ngwa South,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Isin,Ngor-Okpala,0.692980744,0.692980744,0.637,0,-1,2018
Isi-Uzo,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Isokan,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Isoko North,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Isoko South,Isoko South,0.158075112,0.158075112,0.637,0,-1,2018
Isu,Ngor-Okpala,0.65,0.65,0.637,0,-1,2018
Isuikwato,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Itas-Gadau,Taura,0.226575202,0.226575202,0.637,0,-1,2018
Itesiwaju,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Itu,Ngor-Okpala,0.8,0.8,0.637,0,-1,2018
Ivo,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Iwajowa,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Iwo,Akinyele,0.603240333,0.603240333,0.637,0,-1,2018
Izzi,Owan East,0.632951452,0.632951452,0.637,0,-1,2018
