"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"159","Damban","Darazo",2021,"Damban",0.416981132,0.4225,0.367391305,0.675324675,1,"july","PBO",0.81015375,0.751849022,0.926817289,551
"160","Damban","Darazo",2024,"Damban",0.416981132,0.4225,0.367391305,0.675324675,2,"july","PBO",0.81015375,0.751849022,0.926817289,1646
"161","Darazo","Darazo",2021,"Darazo",0.495485905,0.433992711,0.461025325,0.678791972,1,"july","PBO",0.786253294,0.751697891,0.917634707,551
"162","Darazo","Darazo",2024,"Darazo",0.495485905,0.433992711,0.461025325,0.678791972,2,"july","PBO",0.786253294,0.751697891,0.917634707,1646
"163","Dass","Alkaleri",2021,"Dass",0.861111111,0.600000001,0.472727273,0.8,1,"july","PBO",0.466190501,0.744955755,0.65,551
"164","Dass","Alkaleri",2024,"Dass",0.861111111,0.600000001,0.472727273,0.8,2,"july","PBO",0.466190501,0.744955755,0.65,1646
"165","Gamawa","Gwarzo",2021,"Gamawa",0.630303031,0.325,0.433333333,0.8,1,"august","PBO",0.770682387,0.751588754,0.911009334,588
"166","Gamawa","Gwarzo",2024,"Gamawa",0.630303031,0.325,0.433333333,0.8,2,"august","PBO",0.770682387,0.751588754,0.911009334,1683
"167","Jama'are","Taura",2021,"Jama'are",0.701150073,0.578042403,0.671754807,0.8,1,"july","PBO",0.749263424,0.751422939,0.900969453,551
"168","Jama'are","Taura",2024,"Jama'are",0.701150073,0.578042403,0.671754807,0.8,2,"july","PBO",0.749263424,0.751422939,0.900969453,1646
