State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Sokoto,Dange-Shnsi,Gawabawa,august,2020,1,-1,1,0.6,5,223
Borno,Mobbar,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Mobbar,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Mobbar,Babura,may,2020,4,-1,1,0.6,5,221
Katsina,Danja,Giwa,august,2020,1,-1,1,0.6,5,223
Borno,Monguno,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Monguno,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Monguno,Babura,may,2020,4,-1,1,0.6,5,221
Bauchi,Darazo,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Ngala,Taura,july,2020,2,-1,1,0.6,5,251
Borno,Ngala,Taura,july,2020,3,-1,1,0.6,5,279
Borno,Ngala,Taura,july,2020,4,-1,1,0.6,5,307
Bauchi,Dass,Alkaleri,july,2020,1,-1,1,0.6,5,186
Borno,Nganzai,Gawabawa,august,2020,2,-1,1,0.6,5,253
Borno,Nganzai,Gawabawa,august,2020,3,-1,1,0.6,5,283
Borno,Nganzai,Gawabawa,august,2020,4,-1,1,0.6,5,313
Katsina,Daura,Babura,may,2020,1,-1,1,0.975975976,5,186
Borno,Shani,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Shani,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Shani,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kano,Dawakin Kudu,Gwarzo,august,2020,1,-1,1,0.6,5,223
Cross River,Bekwara,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Cross River,Bekwara,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Cross River,Bekwara,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Kano,Dawakin Tofa,Taura,july,2020,1,-1,1,0.6,5,186
Cross River,Obanliku,Obubra,june,2020,2,-1,1,0.6,5,192
Cross River,Obanliku,Obubra,june,2020,3,-1,1,0.6,5,222
Cross River,Obanliku,Obubra,june,2020,4,-1,1,0.6,5,252
Kogi,Dekina,Owan East,march,2020,1,-1,1,0.6,5,131
Cross River,Obudu,Obubra,june,2020,2,-1,1,0.6,5,192
Cross River,Obudu,Obubra,june,2020,3,-1,1,0.6,5,222
Cross River,Obudu,Obubra,june,2020,4,-1,1,0.6,5,252
Adamawa,Demsa,Alkaleri,july,2020,1,-1,1,0.6,5,186
Cross River,Ogoja,Obubra,june,2020,2,-1,1,0.6,5,192
Cross River,Ogoja,Obubra,june,2020,3,-1,1,0.6,5,222
Cross River,Ogoja,Obubra,june,2020,4,-1,1,0.6,5,252
Borno,Dikwa,Darazo,july,2020,1,-1,1,0.6,5,186
Cross River,Yala,Oke-Ero,july,2020,2,-1,1,0.6,5,216
Cross River,Yala,Oke-Ero,july,2020,3,-1,1,0.6,5,246
Cross River,Yala,Oke-Ero,july,2020,4,-1,1,0.6,5,276
Kano,Doguwa,Giwa,august,2020,1,-1,1,0.6,5,223
Federal Capital Territory,Abaji,Keana,august,2020,2,-1,1,0.6,5,253
Federal Capital Territory,Abaji,Keana,august,2020,3,-1,1,0.6,5,283
