adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Jigawa,Kafin Hausa,SMC,Taura,july,2020,4,-1,1,0.6,5,276
Jigawa,Kaugama,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Kaugama,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Kaugama,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Kaugama,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Kazaure,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Kazaure,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Kazaure,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Kazaure,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Kiri Kasamma,SMC,Taura,july,2020,1,-1,1,0.6,5,186
Jigawa,Kiri Kasamma,SMC,Taura,july,2020,2,-1,1,0.6,5,216
Jigawa,Kiri Kasamma,SMC,Taura,july,2020,3,-1,1,0.6,5,246
Jigawa,Kiri Kasamma,SMC,Taura,july,2020,4,-1,1,0.6,5,276
Jigawa,Maigatari,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Maigatari,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Maigatari,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Maigatari,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Malam Madori,SMC,Taura,july,2020,1,-1,1,0.6,5,186
Jigawa,Malam Madori,SMC,Taura,july,2020,2,-1,1,0.6,5,216
Jigawa,Malam Madori,SMC,Taura,july,2020,3,-1,1,0.6,5,246
Jigawa,Malam Madori,SMC,Taura,july,2020,4,-1,1,0.6,5,276
Jigawa,Miga,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Miga,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Miga,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Miga,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Ringim,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Ringim,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Ringim,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Ringim,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Roni,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Roni,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Roni,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
Jigawa,Roni,SMC,Babura,may,2020,4,-1,1,0.653558052,5,270
Jigawa,Sule-Tankarkar,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Jigawa,Sule-Tankarkar,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Jigawa,Sule-Tankarkar,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Jigawa,Sule-Tankarkar,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Jigawa,Taura,SMC,Taura,july,2020,1,-1,1,0.934456929,5,186
Jigawa,Taura,SMC,Taura,july,2020,2,-1,1,0.973782772,5,214
Jigawa,Taura,SMC,Taura,july,2020,3,-1,1,0.975655431,5,242
Jigawa,Taura,SMC,Taura,july,2020,4,-1,1,0.653558052,5,270
Jigawa,Yankwashi,SMC,Babura,may,2020,1,-1,1,0.934456929,5,186
Jigawa,Yankwashi,SMC,Babura,may,2020,2,-1,1,0.973782772,5,214
Jigawa,Yankwashi,SMC,Babura,may,2020,3,-1,1,0.975655431,5,242
