LGA,State,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Kala-Balge,Borno,Darazo,july,580,2021,2,-1,0.8,0.2,5
Kala-Balge,Borno,Darazo,july,610,2021,3,-1,0.8,0.2,5
Kala-Balge,Borno,Darazo,july,640,2021,4,-1,0.8,0.2,5
Gwoza,Borno,Darazo,july,550,2021,1,-1,0.8,0.2,5
Gwoza,Borno,Darazo,july,580,2021,2,-1,0.8,0.2,5
Gwoza,Borno,Darazo,july,610,2021,3,-1,0.8,0.2,5
Gwoza,Borno,Darazo,july,640,2021,4,-1,0.8,0.2,5
Mafa,Borno,Darazo,july,550,2021,1,-1,0.8,0.2,5
Mafa,Borno,Darazo,july,580,2021,2,-1,0.8,0.2,5
Mafa,Borno,Darazo,july,610,2021,3,-1,0.8,0.2,5
Mafa,Borno,Darazo,july,640,2021,4,-1,0.8,0.2,5
Auyo,Jigawa,Taura,july,550,2021,1,-1,0.8,0.2,5
Auyo,Jigawa,Taura,july,580,2021,2,-1,0.8,0.2,5
Auyo,Jigawa,Taura,july,610,2021,3,-1,0.8,0.2,5
Auyo,Jigawa,Taura,july,640,2021,4,-1,0.8,0.2,5
Babura,Jigawa,Babura,may,488,2021,1,-1,0.8,0.2,5
Babura,Jigawa,Babura,may,518,2021,2,-1,0.8,0.2,5
Babura,Jigawa,Babura,may,548,2021,3,-1,0.8,0.2,5
Babura,Jigawa,Babura,may,578,2021,4,-1,0.8,0.2,5
Biriniwa,Jigawa,Taura,july,550,2021,1,-1,0.8,0.2,5
Biriniwa,Jigawa,Taura,july,580,2021,2,-1,0.8,0.2,5
