,adm1,adm2,year,llins_yn,llins_num,llin_month,mortality,Kill_rate
317,Abia,Arochukwu,2015,1.0,,2.0,0.427254966,0.48178483292246455
318,Abia,Bende,2015,1.0,,2.0,0.420477535,0.47633875168917417
319,Abia,Ikwuano,2015,1.0,,2.0,0.43564607200000005,0.48849313531514876
320,Abia,Isiala-Ngwa North,2015,1.0,,2.0,0.368933744,0.4343092595459133
321,Abia,Isiala-Ngwa South,2015,1.0,,2.0,0.434541225,0.48761215102556876
322,Abia,Isuikwato,2015,1.0,,2.0,0.382001885,0.4450436736143423
323,Abia,Obi Nwa,2015,1.0,,2.0,0.34453047700000006,0.41419584412951915
324,Abia,Ohafia,2015,1.0,,2.0,0.40984205,0.46774706612038935
325,Abia,Osisioma Ngwa,2015,1.0,,2.0,0.3673583,0.4330128679571195
326,Abia,Ugwunagbo,2015,1.0,,2.0,0.30086937,0.37825278892338476
327,Abia,Ukwa East,2015,1.0,,2.0,0.33858331399999997,0.40928926462408227
328,Abia,Ukwa West,2015,1.0,,2.0,0.338909646,0.40955848680393236
329,Abia,Umu-Neochi,2015,1.0,,2.0,0.356058175,0.42370393884784086
330,Abia,Umuahia North,2015,1.0,,2.0,0.41667292799999994,0.47327136694977295
331,Abia,Umuahia South,2015,1.0,,2.0,0.487920618,0.5292263835581219
332,Cross River,Abi,2015,1.0,,9.0,0.451386894,0.5009630660014539
333,Cross River,Akamkpa,2015,1.0,,9.0,0.441673241,0.49328626600401687
334,Cross River,Akpabuyo,2015,1.0,,9.0,0.380655111,0.44393920419003013
335,Cross River,Bakassi,2015,1.0,,9.0,0.258655755,0.34398684115471084
336,Cross River,Bekwara,2015,1.0,,9.0,0.29792498300000003,0.37584151862949794
337,Cross River,Biase,2015,1.0,,9.0,0.403038715,0.46222491626225304
338,Cross River,Boki,2015,1.0,,9.0,0.347293123,0.4164750291226555
339,Cross River,Calabar South,2015,1.0,,9.0,0.38172759,0.444818765864818
340,Cross River,Calabar-Municipal,2015,1.0,,9.0,0.415381427,0.4722285400419292
341,Cross River,Etung,2015,1.0,,9.0,0.394432165,0.4552133944490473
