LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday,coverage_high_access_per,coverage_low_access_per
Bama,Borno,2021,2,-1,0.6,0.2,5,9,616,60,20.0
Bama,Borno,2021,3,-1,0.6,0.2,5,10,644,60,20.0
Bama,Borno,2021,4,-1,0.6,0.2,5,11,672,60,20.0
Bama,Borno,2021,1,-1,0.6,0.2,5,8,588,60,20.0
Bama,Borno,2022,2,-1,0.6,0.2,5,9,981,60,20.0
Bama,Borno,2022,3,-1,0.6,0.2,5,10,1009,60,20.0
Bama,Borno,2022,4,-1,0.6,0.2,5,11,1037,60,20.0
Bama,Borno,2022,1,-1,0.6,0.2,5,8,953,60,20.0
Bama,Borno,2023,2,-1,0.6,0.2,5,9,1346,60,20.0
Bama,Borno,2023,3,-1,0.6,0.2,5,10,1374,60,20.0
Bama,Borno,2023,4,-1,0.6,0.2,5,11,1402,60,20.0
Bama,Borno,2023,1,-1,0.6,0.2,5,8,1318,60,20.0
Bama,Borno,2024,2,-1,0.6,0.2,5,9,1711,60,20.0
Bama,Borno,2024,3,-1,0.6,0.2,5,10,1739,60,20.0
Bama,Borno,2024,4,-1,0.6,0.2,5,11,1767,60,20.0
Bama,Borno,2024,1,-1,0.6,0.2,5,8,1683,60,20.0
Bama,Borno,2025,2,-1,0.6,0.2,5,9,2076,60,20.0
Bama,Borno,2025,3,-1,0.6,0.2,5,10,2104,60,20.0
Bama,Borno,2025,4,-1,0.6,0.2,5,11,2132,60,20.0
Bama,Borno,2025,1,-1,0.6,0.2,5,8,2048,60,20.0
Bama,Borno,2026,2,-1,0.6,0.2,5,9,2441,60,20.0
Bama,Borno,2026,3,-1,0.6,0.2,5,10,2469,60,20.0
Bama,Borno,2026,4,-1,0.6,0.2,5,11,2497,60,20.0
Bama,Borno,2026,1,-1,0.6,0.2,5,8,2413,60,20.0
Bama,Borno,2027,2,-1,0.6,0.2,5,9,2806,60,20.0
Bama,Borno,2027,3,-1,0.6,0.2,5,10,2834,60,20.0
Bama,Borno,2027,4,-1,0.6,0.2,5,11,2862,60,20.0
Bama,Borno,2027,1,-1,0.6,0.2,5,8,2778,60,20.0
Bama,Borno,2028,2,-1,0.6,0.2,5,9,3171,60,20.0
Bama,Borno,2028,3,-1,0.6,0.2,5,10,3199,60,20.0
Bama,Borno,2028,4,-1,0.6,0.2,5,11,3227,60,20.0
Bama,Borno,2028,1,-1,0.6,0.2,5,8,3143,60,20.0
Bama,Borno,2029,2,-1,0.6,0.2,5,9,3536,60,20.0
Bama,Borno,2029,3,-1,0.6,0.2,5,10,3564,60,20.0
Bama,Borno,2029,4,-1,0.6,0.2,5,11,3592,60,20.0
Bama,Borno,2029,1,-1,0.6,0.2,5,8,3508,60,20.0
Bama,Borno,2030,2,-1,0.6,0.2,5,9,3901,60,20.0
Bama,Borno,2030,3,-1,0.6,0.2,5,10,3929,60,20.0
Bama,Borno,2030,4,-1,0.6,0.2,5,11,3957,60,20.0
Bama,Borno,2030,1,-1,0.6,0.2,5,8,3873,60,20.0
Baure,Katsina,2020,1,-1,1,0.975975976,5,7,186,100,97.6
Baure,Katsina,2020,2,-1,1,0.977477477,5,8,214,100,97.7
Baure,Katsina,2020,3,-1,1,0.951951952,5,9,242,100,95.2
Baure,Katsina,2020,4,-1,1,0.363363363,5,10,270,100,36.3
Baure,Katsina,2021,1,-1,1,0.975975976,5,7,551,100,97.6
Baure,Katsina,2021,2,-1,1,0.977477477,5,8,579,100,97.7
Baure,Katsina,2021,3,-1,1,0.951951952,5,9,607,100,95.2
Baure,Katsina,2021,4,-1,1,0.363363363,5,10,635,100,36.3
Baure,Katsina,2022,1,-1,1,0.975975976,5,7,916,100,97.6
Baure,Katsina,2022,2,-1,1,0.977477477,5,8,944,100,97.7
Baure,Katsina,2022,3,-1,1,0.951951952,5,9,972,100,95.2
Baure,Katsina,2022,4,-1,1,0.363363363,5,10,1000,100,36.3
Baure,Katsina,2023,1,-1,1,0.975975976,5,7,1281,100,97.6
Baure,Katsina,2023,2,-1,1,0.977477477,5,8,1309,100,97.7
Baure,Katsina,2023,3,-1,1,0.951951952,5,9,1337,100,95.2
Baure,Katsina,2023,4,-1,1,0.363363363,5,10,1365,100,36.3
Baure,Katsina,2024,1,-1,1,0.975975976,5,7,1646,100,97.6
Baure,Katsina,2024,2,-1,1,0.977477477,5,8,1674,100,97.7
Baure,Katsina,2024,3,-1,1,0.951951952,5,9,1702,100,95.2
Baure,Katsina,2024,4,-1,1,0.363363363,5,10,1730,100,36.3
Baure,Katsina,2025,1,-1,1,0.975975976,5,7,2011,100,97.6
Baure,Katsina,2025,2,-1,1,0.977477477,5,8,2039,100,97.7
Baure,Katsina,2025,3,-1,1,0.951951952,5,9,2067,100,95.2
Baure,Katsina,2025,4,-1,1,0.363363363,5,10,2095,100,36.3
Baure,Katsina,2026,1,-1,1,0.975975976,5,7,2376,100,97.6
Baure,Katsina,2026,2,-1,1,0.977477477,5,8,2404,100,97.7
Baure,Katsina,2026,3,-1,1,0.951951952,5,9,2432,100,95.2
Baure,Katsina,2026,4,-1,1,0.363363363,5,10,2460,100,36.3
Baure,Katsina,2027,1,-1,1,0.975975976,5,7,2741,100,97.6
Baure,Katsina,2027,2,-1,1,0.977477477,5,8,2769,100,97.7
Baure,Katsina,2027,3,-1,1,0.951951952,5,9,2797,100,95.2
Baure,Katsina,2027,4,-1,1,0.363363363,5,10,2825,100,36.3
Baure,Katsina,2028,1,-1,1,0.975975976,5,7,3106,100,97.6
Baure,Katsina,2028,2,-1,1,0.977477477,5,8,3134,100,97.7
Baure,Katsina,2028,3,-1,1,0.951951952,5,9,3162,100,95.2
