,LGA,Rep_DS,State,simday,duration,year,U5_coverage,adult_coverage
239,Gbako,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
240,Gboko,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
241,Gboyin,Obubra,Cross River,0,1095,2010,0,0
242,Geidam,Babura,Jigawa,0,1095,2010,0.102781,0.102781
243,Gezawa,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
244,Giade,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
245,Gireri,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
246,Giwa,Giwa,Kaduna,0,1095,2010,0.064588,0.064588
247,Gokana,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
248,Gombe,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
249,Gombi,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
250,Goronyo,Gawabawa,Sokoto,0,1095,2010,0,0
251,Gubio,Gawabawa,Sokoto,0,1095,2010,0,0
252,Gudu,Gawabawa,Sokoto,0,1095,2010,0,0
253,Gujba,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
254,Gulani,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
255,Guma,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
256,Gumel,Babura,Jigawa,0,1095,2010,0.102781,0.102781
257,Gummi,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
258,Gurara,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
259,Guri,Taura,Jigawa,0,1095,2010,0.128142,0.128142
260,Gusau,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
261,Guyuk,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
262,Guzamala,Babura,Jigawa,0,1095,2010,0.102781,0.102781
263,Gwagwalada,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
264,Gwale,Alkaleri,Bauchi,0,1095,2010,0.297911,0.297911
265,Gwandu,Birnin Kebbi,Kebbi,0,1095,2010,0.033146,0.033146
266,Gwaram,Takali,Kano,0,1095,2010,0.084126,0.084126
267,Gwarzo,Gwarzo,Kano,0,1095,2010,0.044545,0.044545
268,Gwer East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
269,Gwer West,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
270,Gwiwa,Babura,Jigawa,0,1095,2010,0.102781,0.102781
271,Gwoza,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
272,Hadejia,Taura,Jigawa,0,1095,2010,0.128142,0.128142
273,Hawul,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
274,Hong,Darazo,Bauchi,0,1095,2010,0.122656,0.122656
275,Ibadan North,Owan East,Edo,0,1095,2010,0.20155,0.20155
276,Ibadan North East,Owan East,Edo,0,1095,2010,0.20155,0.20155
277,Ibadan North West,Owan East,Edo,0,1095,2010,0.20155,0.20155
278,Ibadan South East,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
279,Ibadan South West,Owan East,Edo,0,1095,2010,0.20155,0.20155
280,Ibaji,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
281,Ibarapa Central,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
282,Ibarapa East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
283,Ibarapa North,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
284,Ibeju-Lekki,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
285,Ibeno,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
286,Ibesikpo Asutan,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
287,Ibi,Keana,Nasarawa,0,1095,2010,0.038083,0.038083
288,Ibiono Ibom,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
289,Idah,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
290,Idanre,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
291,Ideato North,Oru West,Imo,0,1095,2010,0.275321,0.275321
292,Ideato South,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
293,Idemili North,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
294,Idemili South,Oru West,Imo,0,1095,2010,0.275321,0.275321
295,Ido,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
296,Idosi-Osi,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
297,Ifako-Ijaye,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
298,Ife Central,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
299,Ife East,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
300,Ife North,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
301,Ife South,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
302,Ifedayo,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
303,Ifedore,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
304,Ifelodun1,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
305,Ifelodun2,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
306,Ifo,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
307,Igabi,Soba,Kaduna,0,1095,2010,0.144206,0.144206
308,Igalamela-Odolu,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
309,Igbo-Etiti,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
310,Igbo-Eze North,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
311,Igbo-Eze South,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
312,Igueben,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
313,Ihiala,Oru West,Imo,0,1095,2010,0.275321,0.275321
314,Ihitte-Uboma,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
315,Ijebu East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
316,Ijebu North,Owan East,Edo,0,1095,2010,0.20155,0.20155
317,Ijebu North East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
318,Ijebu ode,Owan East,Edo,0,1095,2010,0.20155,0.20155
319,Ijero,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
320,Ijumu,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
321,Ika,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
322,Ika North East,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
323,Ika South,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
324,Ikara,Soba,Kaduna,0,1095,2010,0.144206,0.144206
325,Ikeduru,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
326,Ikeja,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
327,Ikenne,Owan East,Edo,0,1095,2010,0.20155,0.20155
328,Ikere,Owan East,Edo,0,1095,2010,0.20155,0.20155
329,Ikole,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
330,Ikom,Obubra,Cross River,0,1095,2010,0,0
331,Ikono,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
332,Ikorodu,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
333,Ikot Abasi,Nsit Ubium,Akwa lbom,0,1095,2010,0.157392,0.157392
334,Ikot Ekpene,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
335,Ikpoba-Okha,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
336,Ikwerre,Oru West,Imo,0,1095,2010,0.275321,0.275321
337,Ikwo,Obubra,Cross River,0,1095,2010,0,0
338,Ikwuano,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
339,Ila,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
340,Ilaje,Owan East,Edo,0,1095,2010,0.20155,0.20155
341,Ile-Oluji-Okeigbo,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
342,Ilemeji,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
343,Ilesha East,Owan East,Edo,0,1095,2010,0.20155,0.20155
344,Ilesha West,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
345,Illela,Gawabawa,Sokoto,0,1095,2010,0,0
346,Ilorin East,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
347,Ilorin South,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
348,Ilorin West,Owan East,Edo,0,1095,2010,0.20155,0.20155
349,Imeko-Afon,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
350,Ingawa,Rimi,Katsina,0,1095,2010,0.161449,0.161449
351,Ini,Ngor-Okpala,Imo,0,1095,2010,0.082396,0.082396
352,Ipokia,Uzo-Uwani,Enugu,0,1095,2010,0.148298,0.148298
353,Irele,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
354,Irepo,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
355,Irepodun-Ifelodun,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
356,Irepodun1,Owan East,Edo,0,1095,2010,0.20155,0.20155
357,Irepodun2,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
358,Irewole,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
359,Isa,Rimi,Katsina,0,1095,2010,0.161449,0.161449
360,Ise-Orun,Oke-Ero,Kwara,0,1095,2010,0.089926,0.089926
361,Iseyin,Akinyele,Oyo,0,1095,2010,0.16989,0.16989
362,Ishielu,Owan East,Edo,0,1095,2010,0.20155,0.20155
