"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"169","Ado-Odo-Ota","Uzo-Uwani",NA,0.771277311776261,0.771277311776261,1166,365,2023,4,0.8,5,0.351084826776261
"170","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,1531,365,2024,5,0.8,6,0.421301792131513
"171","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,1896,365,2025,6,0.8,7,0.491518757486766
"172","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,2261,365,2026,7,0.8,8,0.561735722842018
"173","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.63195268819727
"174","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.702169653552522
"175","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.772386618907774
"176","Ado-Odo-Ota","Uzo-Uwani",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.842603584263027
"177","Afijio","Akinyele",NA,0.210874110186304,0.210874110186304,71,365,2020,1,0.545947875186304,2,0.0559478751863036
"178","Afijio","Akinyele",NA,0.238848047779455,0.238848047779455,436,365,2021,2,0.573921812779455,3,0.0839218127794555
"179","Afijio","Akinyele",NA,0.266821985372607,0.266821985372607,801,365,2022,3,0.601895750372607,4,0.111895750372607
"180","Afijio","Akinyele",NA,0.294795922965759,0.294795922965759,1166,365,2023,4,0.629869687965759,5,0.139869687965759
"181","Afijio","Akinyele",NA,0.322769860558911,0.322769860558911,1531,365,2024,5,0.657843625558911,6,0.167843625558911
"182","Afijio","Akinyele",NA,0.350743798152063,0.350743798152063,1896,365,2025,6,0.685817563152063,7,0.195817563152063
"183","Afijio","Akinyele",NA,0.378717735745215,0.378717735745215,2261,365,2026,7,0.713791500745214,8,0.223791500745215
"184","Afijio","Akinyele",NA,0.406691673338366,0.406691673338366,2626,365,2027,8,0.741765438338366,9,0.251765438338366
"185","Afijio","Akinyele",NA,0.434665610931518,0.434665610931518,2991,365,2028,9,0.769739375931518,10,0.279739375931518
"186","Afijio","Akinyele",NA,0.46263954852467,0.46263954852467,3356,365,2029,10,0.79771331352467,11,0.30771331352467
"187","Afijio","Akinyele",NA,0.490613486117822,0.490613486117822,3721,365,2030,11,0.8,12,0.335687251117822
"188","Afikpo North","Oru West",NA,0.8,0.8,71,365,2020,1,0.629359996565305,2,0.139359996565305
"189","Afikpo North","Oru West",NA,0.8,0.8,436,365,2021,2,0.699039994847957,3,0.209039994847957
"190","Afikpo North","Oru West",NA,0.8,0.8,801,365,2022,3,0.76871999313061,4,0.27871999313061
"191","Afikpo North","Oru West",NA,0.8,0.8,1166,365,2023,4,0.8,5,0.348399991413262
"192","Afikpo North","Oru West",NA,0.8,0.8,1531,365,2024,5,0.8,6,0.418079989695915
"193","Afikpo North","Oru West",NA,0.8,0.8,1896,365,2025,6,0.8,7,0.487759987978567
"194","Afikpo North","Oru West",NA,0.8,0.8,2261,365,2026,7,0.8,8,0.55743998626122
"195","Afikpo North","Oru West",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.627119984543872
"196","Afikpo North","Oru West",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.696799982826525
"197","Afikpo North","Oru West",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.766479981109177
"198","Afikpo North","Oru West",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.83615997939183
"199","Afikpo South","Ngor-Okpala",NA,0.577194197786297,0.577194197786297,71,365,2020,1,0.596242401786297,2,0.106242401786297
"200","Afikpo South","Ngor-Okpala",NA,0.630315398679445,0.630315398679445,436,365,2021,2,0.649363602679445,3,0.159363602679445
"201","Afikpo South","Ngor-Okpala",NA,0.683436599572593,0.683436599572593,801,365,2022,3,0.702484803572593,4,0.212484803572593
"202","Afikpo South","Ngor-Okpala",NA,0.736557800465742,0.736557800465742,1166,365,2023,4,0.755606004465742,5,0.265606004465742
"203","Afikpo South","Ngor-Okpala",NA,0.78967900135889,0.78967900135889,1531,365,2024,5,0.8,6,0.31872720535889
"204","Afikpo South","Ngor-Okpala",NA,0.8,0.8,1896,365,2025,6,0.8,7,0.371848406252038
"205","Afikpo South","Ngor-Okpala",NA,0.8,0.8,2261,365,2026,7,0.8,8,0.424969607145187
"206","Afikpo South","Ngor-Okpala",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.478090808038335
"207","Afikpo South","Ngor-Okpala",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.531212008931483
"208","Afikpo South","Ngor-Okpala",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.584333209824632
"209","Afikpo South","Ngor-Okpala",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.63745441071778
