LGA,State,IPTyn,ipti_cov_mean,ipti_cov_cil,ipti_cov_ciu,IPTicov
Gezawa,Kano,0,0.320512821,0.320512821,0.320512821,0.320512821
Giade,Bauchi,0,0.066666667,0.066666667,0.066666667,0.066666667
Gireri,Adamawa,0,0.52539925,0.456935908,0.593862592,0.52539925
Giwa,Kaduna,0,0.094546517,0.021443637,0.167649397,0.094546517
Gokana,Rivers,1,0.634861592,0.56361662,0.706106564,0.634861592
Gombe,Gombe,0,0.576585399,0.476624086,0.676546712,0.576585399
Gombi,Adamawa,0,0.583461322,0.533083812,0.633838833,0.583461322
Goronyo,Sokoto,0,0.071428571,0.071428571,0.071428571,0.071428571
Gubio,Borno,0,0.066666667,0.066666667,0.066666667,0.066666667
Gudu,Sokoto,0,0.117184353,0.082797458,0.151571249,0.117184353
Gujba,Yobe,0,0.299900131,0.230926988,0.368873274,0.299900131
Gulani,Yobe,0,0.299900131,0.230926988,0.368873274,0.299900131
Guma,Benue,0,0.326074832,0.233704239,0.418445425,0.326074832
Gumel,Jigawa,0,0.378787879,0.378787879,0.378787879,0.378787879
Gummi,Zamfara,0,0,0,0,0
Gurara,Niger,0,0.327244555,0.247438546,0.407050563,0.327244555
Guri,Jigawa,0,0.373172586,0.316894489,0.429450683,0.373172586
Gusau,Zamfara,0,0.171323869,0.144568179,0.198079559,0.171323869
Guyuk,Adamawa,0,0.652812755,0.405449561,0.900175949,0.652812755
Guzamala,Borno,0,0.350956886,0.255676918,0.446236854,0.350956886
Gwagwalada,Federal Capital Territory,0,0.638693405,0.531746737,0.745640073,0.638693405
Gwale,Kano,0,0.620092624,0.496650554,0.743534694,0.620092624
Gwandu,Kebbi,0,0.136363636,0.136363636,0.136363636,0.136363636
Gwaram,Jigawa,0,0.287493282,0.068922058,0.506064506,0.287493282
Gwarzo,Kano,0,0.275862069,0.275862069,0.275862069,0.275862069
Gwer East,Benue,0,0.333333333,0.333333333,0.333333333,0.333333333
Gwer West,Benue,0,0.666666667,0.666666667,0.666666667,0.666666667
Gwiwa,Jigawa,0,0.693333333,0.693333333,0.693333333,0.693333333
Gwoza,Borno,0,0.350956886,0.255676918,0.446236854,0.350956886
Hadejia,Jigawa,0,0.373172586,0.316894489,0.429450683,0.373172586
Hawul,Borno,0,0.423761424,0.143909852,0.703612996,0.423761424
Hong,Adamawa,0,0.857142857,0.857142857,0.857142857,0.857142857
Ibadan North,Oyo,1,0.570690373,0.375757139,0.765623608,0.570690373
Ibadan North East,Oyo,1,0.25,0.25,0.25,0.25
Ibadan North West,Oyo,1,0.445634022,0.30582958,0.585438464,0.445634022
Ibadan South East,Oyo,1,0.461438899,0.389480681,0.533397116,0.461438899
Ibadan South West,Oyo,1,0.664778285,0.369570058,0.959986513,0.664778285
Ibaji,Kogi,1,0.544345242,0.523446438,0.565244046,0.544345242
Ibarapa Central,Oyo,1,0.441087541,0.094804404,0.787370678,0.441087541
