State,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Federal Capital Territory,Abaji,Keana,august,283,2020,3,-1,1,0.6,5
Federal Capital Territory,Abaji,Keana,august,313,2020,4,-1,1,0.6,5
Federal Capital Territory,Abuja Municipal,Keana,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Abuja Municipal,Keana,august,253,2020,2,-1,1,0.6,5
Federal Capital Territory,Abuja Municipal,Keana,august,283,2020,3,-1,1,0.6,5
Federal Capital Territory,Abuja Municipal,Keana,august,313,2020,4,-1,1,0.6,5
Federal Capital Territory,Bwari,Giwa,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Bwari,Giwa,august,253,2020,2,-1,1,0.6,5
Federal Capital Territory,Bwari,Giwa,august,283,2020,3,-1,1,0.6,5
Federal Capital Territory,Bwari,Giwa,august,313,2020,4,-1,1,0.6,5
Federal Capital Territory,Gwagwalada,Keana,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Gwagwalada,Keana,august,253,2020,2,-1,1,0.6,5
Federal Capital Territory,Gwagwalada,Keana,august,283,2020,3,-1,1,0.6,5
Federal Capital Territory,Gwagwalada,Keana,august,313,2020,4,-1,1,0.6,5
Federal Capital Territory,Kuje,Keana,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Kuje,Keana,august,253,2020,2,-1,1,0.6,5
Federal Capital Territory,Kuje,Keana,august,283,2020,3,-1,1,0.6,5
Federal Capital Territory,Kuje,Keana,august,313,2020,4,-1,1,0.6,5
Federal Capital Territory,Kwali,Keana,august,223,2020,1,-1,1,0.6,5
Federal Capital Territory,Kwali,Keana,august,253,2020,2,-1,1,0.6,5
