LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Kauru,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kazaure,Babura,0.34375,0.34375,0.539,0,-1,2018,-1
Keana,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Kebbe,Birnin Kebbi,0.464481248,0.464481248,0.539,0,-1,2018,-1
Keffi,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Khana,Nsit Ubium,0.314285715,0.314285715,0.539,0,-1,2018,-1
Kibiya,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Kirfi,Alkaleri,0.084615385,0.084615385,0.539,0,-1,2018,-1
Kiri Kasamma,Taura,0.323102291,0.323102291,0.539,0,-1,2018,-1
Kiru,Gwarzo,0.262624369,0.262624369,0.539,0,-1,2018,-1
Kiyawa,Takali,0.157142857,0.157142857,0.539,0,-1,2018,-1
Kogi,Keana,0.366666666,0.366666666,0.539,0,-1,2018,-1
Koko-Besse,Birnin Kebbi,0.693373492,0.693373492,0.539,0,-1,2018,-1
Kokona,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Kolokuma-Opokuma,Ahoada West,0.427953851,0.427953851,0.539,0,-1,2018,-1
Konduga,Darazo,0.55,0.55,0.539,0,-1,2018,-1
Konshisha,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Kontagora,Oke-Ero,0.353032722,0.353032722,0.539,0,-1,2018,-1
Kosofe,Isoko South,0.760101856,0.760101856,0.539,0,-1,2018,-1
Kubau,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Kudan,Giwa,0.143559165,0.143559165,0.539,0,-1,2018,-1
Kuje,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Kukawa,Babura,0.66,0.66,0.539,0,-1,2018,-1
Kumbotso,Taura,0.192420845,0.192420845,0.539,0,-1,2018,-1
Kunchi,Babura,0.162151388,0.162151388,0.539,0,-1,2018,-1
Kura,Gwarzo,0.244444444,0.244444444,0.539,0,-1,2018,-1
Kurfi,Rimi,0.230995129,0.230995129,0.539,0,-1,2018,-1
Kurmi,Oru West,0.44,0.44,0.539,0,-1,2018,-1
Kusada,Rimi,0.20625,0.20625,0.539,0,-1,2018,-1
Kwali,Keana,0.194905934,0.194905934,0.539,0,-1,2018,-1
Kwami,Alkaleri,0.076443986,0.076443986,0.539,0,-1,2018,-1
Kwande,Oke-Ero,0.207547337,0.207547337,0.539,0,-1,2018,-1
Kware,Gawabawa,0.22,0.22,0.539,0,-1,2018,-1
Kwaya Kusar,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Lafia,Alkaleri,0.257540308,0.257540308,0.539,0,-1,2018,-1
Lagelu,Akinyele,0.170418859,0.170418859,0.539,0,-1,2018,-1
Lagos Island,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
Lagos Mainland,Isoko South,0.133755864,0.133755864,0.539,0,-1,2018,-1
