adm1,LGA,year,llins_yn,llins_num,llin_month
Kwara,Ilorin East,2017,1,153974,10
Kwara,Ilorin South,2017,1,150905,10
Kwara,Ilorin West,2017,1,251750,10
Ogun,Imeko-Afon,2014,1,,3
Ogun,Imeko-Afon,2018,1,66172,5
Katsina,Ingawa,2015,1,,1
Katsina,Ingawa,2018,1,138330,10
Akwa Ibom,Ini,2014,1,,12
Akwa Ibom,Ini,2018,1,77267,
Ogun,Ipokia,2014,1,,3
Ogun,Ipokia,2018,1,131381,5
Ondo,Irele,2017,1,103357,11
Oyo,Irepo,2016,1,93612,11
Ekiti,Irepodun/Ifelodun,2010,,,
Ekiti,Irepodun/Ifelodun,2014,1,,12
Kwara,Irepodun1,2017,1,107678,10
Osun,Irepodun2,2017,1,85768,9
Osun,Irewole,2017,1,107763,9
Sokoto,Isa,2013,1,,12
Sokoto,Isa,2017,1,112117,
Ekiti,Ise/Orun,2014,1,,12
Oyo,Iseyin,2016,1,172223,11
Ebonyi,Ishielu,2015,1,,9
Imo,Isiala Mbano,2017,1,129476,11
Abia,Isiala-Ngwa North,2015,1,,2
Abia,Isiala-Ngwa South,2015,1,,2
Kwara,Isin,2017,1,44907,10
Osun,Isokan,2017,1,77874,9
Delta,Isoko North,2018,1,112418,
Delta,Isoko North,2019,1,112418,6
Delta,Isoko South,2018,1,163152,
Delta,Isoko South,2019,1,163152,6
Imo,Isu,2017,1,119537,11
Abia,Isuikwato,2015,1,,2
Bauchi,Itas/Gadau,2014,1,,10
Bauchi,Itas/Gadau,2018,1,187447,
Oyo,Itesiwaju,2016,1,98695,11
Akwa Ibom,Itu,2014,1,,12
Akwa Ibom,Itu,2018,1,105317,
Ebonyi,Ivo,2015,1,,9
Oyo,Iwajowa,2016,1,74838,11
Osun,Iwo,2017,1,137976,9
Ebonyi,Izzi,2015,1,,9
Kaduna,Jaba,2015,1,,3
Kaduna,Jaba,2018,1,134764,
Kaduna,Jaba,2019,1,134764,8
Adamawa,Jada,2017,1,135614,9
Jigawa,Jahun,2014,1,,10
Jigawa,Jahun,2018,1,182617,8
Yobe,Jakusko,2018,1,133210,
Yobe,Jakusko,2019,1,133210,6
Taraba,Jalingo,2018,1,116777,
Taraba,Jalingo,2019,1,116777,8
Bauchi,Jama'are,2014,1,,10
Bauchi,Jama'are,2018,1,97100,
Kebbi,Jega,2015,1,,1
Kebbi,Jega,2018,1,149720,
Kaduna,Jema'a,2015,1,,3
Kaduna,Jema'a,2018,1,238220,
Kaduna,Jema'a,2019,1,238220,8
Katsina,Jibia,2015,1,,1
Katsina,Jibia,2018,1,145666,10
Plateau,Jos East,2015,1,,3
Plateau,Jos North,2015,1,,3
Plateau,Jos South,2015,1,,3
Kogi,Kabba/Bunu,2017,1,85918,
Kano,Kabo,2010,,,
Kano,Kabo,2015,1,,3
Kano,Kabo,2019,1,,10
Kaduna,Kachia,2015,1,,3
Kaduna,Kachia,2018,1,201683,
Kaduna,Kachia,2019,1,201683,8
Kaduna,Kaduna North,2010,,,
Kaduna,Kaduna North,2015,1,,3
Kaduna,Kaduna North,2018,1,300306,
Kaduna,Kaduna North,2019,1,300306,8
Kaduna,Kaduna South,2015,1,,3
Kaduna,Kaduna South,2018,1,311205,
Kaduna,Kaduna South,2019,1,311205,8
Jigawa,Kafin Hausa,2010,,,
Jigawa,Kafin Hausa,2014,1,,10
Jigawa,Kafin Hausa,2018,1,221006,8
Katsina,Kafur,2015,1,,1
Katsina,Kafur,2018,1,165841,10
Kaduna,Kagarko,2015,1,,3
Kaduna,Kagarko,2018,1,192690,
Kaduna,Kagarko,2019,1,192690,8
Kwara,Kaiama,2017,1,97184,10
Katsina,kaita,2015,1,,1
Katsina,kaita,2018,1,159507,10
Oyo,Kajola,2016,1,142071,11
Kaduna,Kajuru,2015,1,,3
Kaduna,Kajuru,2018,1,104622,
Kaduna,Kajuru,2019,1,104622,8
Kebbi,Kalgo,2015,1,,1
Kebbi,Kalgo,2018,1,65341,
Gombe,Kaltungo,2014,1,,10
Gombe,Kaltungo,2018,1,119904,12
Plateau,Kanam,2015,1,,3
Katsina,Kankara,2015,1,,1
Katsina,Kankara,2018,1,223646,10
Plateau,Kanke,2015,1,,3
Katsina,Kankia,2015,1,,1
Katsina,Kankia,2018,1,124442,10
Kano,Kano Municipal,2015,1,,3
Kano,Kano Municipal,2019,1,,10
Yobe,Karasuwa,2018,1,62975,
Yobe,Karasuwa,2019,1,62975,6
Kano,Karaye,2015,1,,3
Kano,Karaye,2019,1,,10
Taraba,Karin-Lamido,2018,1,156997,
Taraba,Karin-Lamido,2019,1,156997,8
Nasarawa,Karu,2014,1,,10
Nasarawa,Karu,2018,1,345958,
Bauchi,Katagum,2010,,,
Bauchi,Katagum,2014,1,,10
Bauchi,Katagum,2018,1,243737,
Niger,Katcha,2010,,,
Niger,Katcha,2014,1,,12
