"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"223","Ijero","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"224","Ikere","Owan East",NA,NA,1,NA,NA,NA,NA,NA
"225","Ikole","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"226","Ilemeji","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"227","Irepodun/Ifelodun","Oke-Ero",1,NA,1,NA,NA,NA,NA,NA
"228","Ise/Orun","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"229","Moba","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"230","Oye","Oke-Ero",NA,NA,1,NA,NA,NA,NA,NA
"231","Ezeagu","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"232","Igbo-Etiti","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"233","Igbo-Eze North","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"234","Igbo-Eze South","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"235","Isi-Uzo","Owan East",NA,NA,NA,NA,NA,NA,NA,NA
"236","Nkanu East","Owan East",NA,NA,NA,NA,NA,NA,NA,NA
"237","Nkanu West","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"238","Nsukka","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"239","Oji-River","Oru West",NA,NA,NA,NA,NA,NA,NA,NA
"240","Udenu","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"241","Udi","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"242","Uzo-Uwani","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"243","Ahiazu-Mbaise","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"244","Abaji","Keana",NA,NA,NA,NA,NA,NA,NA,NA
"245","Bwari","Giwa",NA,NA,NA,NA,NA,NA,NA,NA
"246","Gwagwalada","Keana",NA,NA,NA,NA,NA,NA,NA,NA
"247","Kuje","Keana",NA,NA,NA,NA,NA,NA,NA,NA
"248","Kwali","Keana",NA,NA,NA,NA,NA,NA,NA,NA
"249","Bunkure","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"250","Abuja Municipal","Keana",NA,NA,NA,NA,NA,NA,NA,NA
"251","Akko","Alkaleri",1,NA,1,NA,NA,NA,1,NA
"252","Balanga","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"253","Billiri","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"254","Dukku","Darazo",1,NA,1,NA,NA,NA,1,NA
"255","Funakaye","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"256","Gombe","Alkaleri",1,NA,1,NA,NA,NA,1,NA
"257","Kaltungo","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"258","Kwami","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"259","Dala","Alkaleri",1,NA,NA,1,NA,NA,NA,1
"260","Nafada","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"261","Shomgom","Alkaleri",1,NA,1,NA,NA,NA,1,NA
"262","Yamaltu/Deba","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"263","Aboh-Mbaise","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"264","Fagge","Alkaleri",NA,NA,NA,1,NA,NA,NA,1
"265","Ehime-Mbano","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"266","Ezinihitte","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"267","Ideato North","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"268","Ideato South","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"269","Ihitte/Uboma","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"270","Ikeduru","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"271","Isiala Mbano","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"272","Isu","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"273","Mbaitoli","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"274","Obowo","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"275","Ngor-Okpala","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"276","Njaba","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"277","Nkwerre","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"278","Nwangele","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"279","Oyo East","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"280","Oguta","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"281","Ohaji/Egbema","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"282","Okigwe","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
"283","Orlu","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"284","Orsu","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"285","Oru East","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"286","Oru West","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"287","Owerri-Municipal","Oru West",NA,NA,NA,NA,NA,1,NA,NA
"288","Tofa","Taura",1,NA,NA,1,NA,NA,NA,1
"289","Owerri North","Ngor-Okpala",NA,NA,NA,NA,NA,1,NA,NA
