LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Ikeja,457059.33,57483,1538,0.0321072,0.524146789,0.53,0,-1,2018
Ikenne,99854.797,14031,1250,0.1069056,0.445601554,0.53,0,-1,2018
Ikere,212553.79,7471,587,0.094284,0.50525877,0.53,0,-1,2018
Ikole,198991.78,6186,706,0.1369548,0.394638898,0.53,0,-1,2018
Ikom,228836.37,24282,6550,0.3236964,0.51620494,0.53,0,-1,2018
Ikono,197017.33,5789,1119,0.2319576,0.419053252,0.53,0,-1,2018
Ikorodu,781650.02,99644,3096,0.0372852,0.509105403,0.53,0,-1,2018
Ikot Abasi,197195.07,4756,939,0.236922,0.293529351,0.53,0,-1,2018
Ikot Ekpene,213705.79,20775,1725,0.0996384,0.424084125,0.53,0,-1,2018
Ikpoba-Okha,510908.7,4486,373,0.0997776,0.396692086,0.53,0,-1,2018
Ikwerre,283382.69,7109,920,0.1552956,0.332764989,0.53,0,-1,2018
Ikwo,298920.15,27476,5451,0.2380692,0.45892996,0.53,0,-1,2018
Ikwuano,189977.59,2211,501,0.2719128,0.51532143,0.53,0,-1,2018
