,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
136,Njikoka,Uzo-Uwani,2023,Njikoka,0.342857143,0.20040582,0.234042512,0.180218965,0.489504274,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
137,Nnewi North,Oru West,2020,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,0.7188,0.863,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
138,Nnewi North,Oru West,2023,Nnewi North,0.303469146,0.271135903,0.183318119,0.261179873,0.7188,0.863,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
139,Nnewi South,Oru West,2020,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.380306319,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
140,Nnewi South,Oru West,2023,Nnewi South,0.461235607,0.514285715,0.293599625,0.301508783,0.380306319,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
141,Ogbaru,Ahoada West,2020,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.322021221,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn
142,Ogbaru,Ahoada West,2023,Ogbaru,0.415384615,0.32,0.436363637,0.264705882,0.322021221,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn
143,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.445478249,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
144,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.036363636,0.268927518,0.192060578,0.035820895,0.445478249,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
145,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.434081069,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
146,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.331783877,0.268927518,0.057142858,0.018181818,0.434081069,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
147,Orumba North,Oru West,2020,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.462606614,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
148,Orumba North,Oru West,2023,Orumba North,0.305007427,0.191341638,0.12251681,0.132782981,0.462606614,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
149,Orumba South,Oru West,2020,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.490669288,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
150,Orumba South,Oru West,2023,Orumba South,0.303469146,0.271135903,0.183318119,0.261179873,0.490669288,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
151,Oyi,Uzo-Uwani,2020,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.449447388,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
152,Oyi,Uzo-Uwani,2023,Oyi,0.271716888,0.072180446,0.040604227,0.121633098,0.449447388,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
