,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,round,peak,simday
120,Akwa Ibom,Udung Uko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Udung Uko,0.33446468,0.294193051,0.202569073,0.227821791,0.232099503,0.322887578,2,june,1622
121,Akwa Ibom,Ukanafun,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2021,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,1,june,527
122,Akwa Ibom,Ukanafun,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2024,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,2,june,1622
123,Akwa Ibom,Uruan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,1,june,527
124,Akwa Ibom,Uruan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,2,june,1622
125,Akwa Ibom,Urue-Offong-Oruko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,1,june,527
126,Akwa Ibom,Urue-Offong-Oruko,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,2,june,1622
127,Akwa Ibom,Uyo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,1,june,527
128,Akwa Ibom,Uyo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,2,june,1622
129,Anambra,Aguata,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,1,june,162
130,Anambra,Aguata,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,2,june,1257
131,Anambra,Anambra East,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,1,june,162
132,Anambra,Anambra East,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,2,june,1257
133,Anambra,Anambra West,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2020,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,1,june,162
134,Anambra,Anambra West,CM+IPTp+LLINs+IPTi,itn ,Uzo-Uwani,2023,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,2,june,1257
135,Anambra,Anaocha,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,1,june,162
136,Anambra,Anaocha,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,2,june,1257
