LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Isin,Ngor-Okpala,,0.8,0.8,0,-1,2018
Isi-Uzo,Oke-Ero,,0.8,0.8,0,-1,2018
Isokan,Akinyele,,0.8,0.8,0,-1,2018
Isoko North,Isoko South,,0.8,0.8,0,-1,2018
Isoko South,Isoko South,,0.8,0.8,0,-1,2018
Isu,Ngor-Okpala,,0.8,0.8,0,-1,2018
Isuikwato,Ngor-Okpala,,0.8,0.8,0,-1,2018
Itas-Gadau,Taura,,0.8,0.8,0,-1,2018
Itesiwaju,Akinyele,,0.8,0.8,0,-1,2018
Itu,Ngor-Okpala,,0.8,0.8,0,-1,2018
Ivo,Ngor-Okpala,,0.8,0.8,0,-1,2018
Iwajowa,Oke-Ero,,0.8,0.8,0,-1,2018
Iwo,Akinyele,,0.8,0.8,0,-1,2018
Izzi,Owan East,,0.8,0.8,0,-1,2018
Jaba,Oke-Ero,,0.8,0.8,0,-1,2018
Jada,Alkaleri,,0.8,0.8,0,-1,2018
Jahun,Taura,,0.8,0.8,0,-1,2018
Jakusko,Taura,,0.8,0.8,0,-1,2018
Jalingo,Keana,,0.8,0.8,0,-1,2018
Jama'are,Taura,,0.8,0.8,0,-1,2018
Jega,Birnin Kebbi,,0.8,0.8,0,-1,2018
Jema'a,Soba,,0.8,0.8,0,-1,2018
Jere,Gawabawa,,0.8,0.8,0,-1,2018
Jibia,Rimi,,0.8,0.8,0,-1,2018
Jos East,Soba,,0.8,0.8,0,-1,2018
Jos North,Soba,,0.8,0.8,0,-1,2018
Jos South,Soba,,0.8,0.8,0,-1,2018
Kabba-Bunu,Oke-Ero,,0.8,0.8,0,-1,2018
Kabo,Gwarzo,,0.8,0.8,0,-1,2018
Kachia,Ngor-Okpala,,0.8,0.8,0,-1,2018
Kaduna North,Soba,,0.8,0.8,0,-1,2018
Kaduna South,Soba,,0.8,0.8,0,-1,2018
Kafin Hausa,Taura,,0.8,0.8,0,-1,2018
Kafur,Gwarzo,,0.8,0.8,0,-1,2018
Kaga,Darazo,,0.8,0.8,0,-1,2018
Kagarko,Oke-Ero,,0.8,0.8,0,-1,2018
Kaiama,Oke-Ero,,0.8,0.8,0,-1,2018
Kaita,Rimi,,0.8,0.8,0,-1,2018
Kajola,Akinyele,,0.8,0.8,0,-1,2018
Kajuru,Soba,,0.8,0.8,0,-1,2018
Kala-Balge,Darazo,,0.8,0.8,0,-1,2018
Kalgo,Birnin Kebbi,,0.8,0.8,0,-1,2018
Kaltungo,Alkaleri,,0.8,0.8,0,-1,2018
Kanam,Alkaleri,,0.8,0.8,0,-1,2018
Kankara,Rimi,,0.8,0.8,0,-1,2018
Kanke,Alkaleri,,0.8,0.8,0,-1,2018
Kankia,Rimi,,0.8,0.8,0,-1,2018
Kano Municipal,Alkaleri,,0.8,0.8,0,-1,2018
Karasuwa,Taura,,0.8,0.8,0,-1,2018
Karaye,Gwarzo,,0.8,0.8,0,-1,2018
Karin-Lamido,Alkaleri,,0.8,0.8,0,-1,2018
Karu,Oke-Ero,,0.8,0.8,0,-1,2018
Katagum,Gwarzo,,0.8,0.8,0,-1,2018
Katcha,Oke-Ero,,0.8,0.8,0,-1,2018
Katsina,Rimi,,0.8,0.8,0,-1,2018
Katsina-Ala,Keana,,0.8,0.8,0,-1,2018
Kaugama,Taura,,0.8,0.8,0,-1,2018
Kaura,Soba,,0.8,0.8,0,-1,2018
Kaura-Namoda,Rimi,,0.8,0.8,0,-1,2018
Kauru,Soba,,0.8,0.8,0,-1,2018
Kazaure,Babura,,0.8,0.8,0,-1,2018
Keana,Keana,,0.8,0.8,0,-1,2018
Kebbe,Birnin Kebbi,,0.8,0.8,0,-1,2018
Keffi,Oke-Ero,,0.8,0.8,0,-1,2018
Khana,Nsit Ubium,,0.8,0.8,0,-1,2018
Kibiya,Gwarzo,,0.8,0.8,0,-1,2018
Kirfi,Alkaleri,,0.8,0.8,0,-1,2018
Kiri Kasamma,Taura,,0.8,0.8,0,-1,2018
Kiru,Gwarzo,,0.8,0.8,0,-1,2018
Kiyawa,Takali,,0.8,0.8,0,-1,2018
Kogi,Keana,,0.8,0.8,0,-1,2018
Koko-Besse,Birnin Kebbi,,0.8,0.8,0,-1,2018
Kokona,Oke-Ero,,0.8,0.8,0,-1,2018
Kolokuma-Opokuma,Ahoada West,,0.8,0.8,0,-1,2018
Konduga,Darazo,,0.8,0.8,0,-1,2018
Konshisha,Oke-Ero,,0.8,0.8,0,-1,2018
Kontagora,Oke-Ero,,0.8,0.8,0,-1,2018
Kosofe,Isoko South,,0.8,0.8,0,-1,2018
Kubau,Soba,,0.8,0.8,0,-1,2018
Kudan,Giwa,,0.8,0.8,0,-1,2018
Kuje,Keana,,0.8,0.8,0,-1,2018
Kukawa,Babura,,0.8,0.8,0,-1,2018
Kumbotso,Taura,,0.8,0.8,0,-1,2018
Kunchi,Babura,,0.8,0.8,0,-1,2018
Kura,Gwarzo,,0.8,0.8,0,-1,2018
Kurfi,Rimi,,0.8,0.8,0,-1,2018
Kurmi,Oru West,,0.8,0.8,0,-1,2018
Kusada,Rimi,,0.8,0.8,0,-1,2018
Kwali,Keana,,0.8,0.8,0,-1,2018
Kwami,Alkaleri,,0.8,0.8,0,-1,2018
Kwande,Oke-Ero,,0.8,0.8,0,-1,2018
Kware,Gawabawa,,0.8,0.8,0,-1,2018
Kwaya Kusar,Alkaleri,,0.8,0.8,0,-1,2018
Lafia,Alkaleri,,0.8,0.8,0,-1,2018
Lagelu,Akinyele,,0.8,0.8,0,-1,2018
Lagos Island,Isoko South,,0.8,0.8,0,-1,2018
