LGA,mapB_mix,repDS,peak,simday,year,coverage,initial_killing,box_duration,decay_time_constant
Wudil,CM+IPTp+IRS+SMC,Gwarzo,august,950,2022,0.6,0.7,180,90
Wukari,CM+IPTp+IRS+SMC,Keana,august,950,2022,0.6,0.7,180,90
Wushishi,CM+IPTp+IRS+SMC,Oke-Ero,july,915,2022,0.6,0.7,180,90
Yakurr,CM+IPTp+IRS+IPTi,Obubra,june,887,2022,0.6,0.7,180,90
Yamaltu-Deba,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Yankwashi,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Yauri,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2022,0.6,0.7,180,90
Yola North,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Yola South,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Zaki,CM+IPTp+IRS+SMC,Taura,july,915,2022,0.6,0.7,180,90
Zango,CM+IPTp+IRS+SMC,Babura,may,852,2022,0.6,0.7,180,90
Zaria,CM+IPTp+IRS+SMC,Soba,july,915,2022,0.6,0.7,180,90
Zing,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Zurmi,CM+IPTp+IRS+SMC,Rimi,march,796,2022,0.6,0.7,180,90
Zuru,CM+IPTp+IRS+SMC,Alkaleri,july,915,2022,0.6,0.7,180,90
Abakaliki,CM+IPTp+IRS+IPTi,Owan East,march,1160,2023,0.6,0.7,180,90
Abuja Municipal,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Afikpo North,CM+IPTp+IRS+IPTi,Oru West,june,1314,2023,0.6,0.7,180,90
Afikpo South,CM+IPTp+IRS+IPTi,Ngor-Okpala,june,1314,2023,0.6,0.7,180,90
Agaie,CM+IPTp+IRS+SMC,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Agwara,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2023,0.6,0.7,180,90
Aiyedade,CM+IPTp+IRS+IPTi,Akinyele,may,1223,2023,0.6,0.7,180,90
Aiyedire,CM+IPTp+IRS+IPTi,Akinyele,may,1223,2023,0.6,0.7,180,90
Ajaokuta,CM+IPTp+IRS+SMC,Owan East,march,1160,2023,0.6,0.7,180,90
Ajingi,CM+IPTp+IRS+SMC,Taura,july,1286,2023,0.6,0.7,180,90
Akinyele,CM+IPTp+IRS+IPTi,Akinyele,may,1223,2023,0.6,0.7,180,90
Akko,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Akoko South East,CM+IPTp+IRS+IPTi,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Akwanga,CM+IPTp+IRS+SMC,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Alkaleri,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Anka,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
Ardo-Kola,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Asa,CM+IPTp+IRS+IPTi,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Askira-Uba,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
Atakumosa East,CM+IPTp+IRS+IPTi,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Atakumosa West,CM+IPTp+IRS+IPTi,Akinyele,may,1223,2023,0.6,0.7,180,90
Auyo,CM+IPTp+IRS+SMC,Taura,july,1286,2023,0.6,0.7,180,90
Awe,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Babura,CM+IPTp+IRS+SMC,Babura,may,1223,2023,0.6,0.7,180,90
Bagudo,CM+IPTp+IRS+SMC,Birnin Kebbi,august,950,2023,0.6,0.7,180,90
Bagwai,CM+IPTp+IRS+SMC,Babura,may,1223,2023,0.6,0.7,180,90
Bakassi,CM+IPTp+IRS+IPTi,Obubra,june,1314,2023,0.6,0.7,180,90
Bakori,CM+IPTp+IRS+SMC,Gwarzo,august,950,2023,0.6,0.7,180,90
Bakura,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
Balanga,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Bali,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Batagarawa,CM+IPTp+IRS+SMC,Rimi,march,1160,2023,0.6,0.7,180,90
Batsari,CM+IPTp+IRS+SMC,Rimi,march,1160,2023,0.6,0.7,180,90
Bauchi,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Baure,CM+IPTp+IRS+SMC,Babura,may,1223,2023,0.6,0.7,180,90
Bayo,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Bebeji,CM+IPTp+IRS+SMC,Gwarzo,august,950,2023,0.6,0.7,180,90
Bichi,CM+IPTp+IRS+SMC,Gwarzo,august,950,2023,0.6,0.7,180,90
Bida,CM+IPTp+IRS+SMC,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Billiri,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Bindawa,CM+IPTp+IRS+SMC,Rimi,march,1160,2023,0.6,0.7,180,90
Birni Kudu,CM+IPTp+IRS+SMC,Takali,september,1342,2023,0.6,0.7,180,90
Birnin Magaji,CM+IPTp+IRS+SMC,Rimi,march,1160,2023,0.6,0.7,180,90
Birnin-Gwari,CM+IPTp+IRS+SMC,Giwa,august,950,2023,0.6,0.7,180,90
Biu,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
Bogoro,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Borgu,CM+IPTp+IRS+SMC,Oke-Ero,july,1286,2023,0.6,0.7,180,90
Bosso,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Buji,CM+IPTp+IRS+SMC,Takali,september,1342,2023,0.6,0.7,180,90
Bukkuyum,CM+IPTp+IRS+SMC,Alkaleri,july,1286,2023,0.6,0.7,180,90
Bungudu,CM+IPTp+IRS+SMC,Takali,september,1342,2023,0.6,0.7,180,90
Bwari,CM+IPTp+IRS+SMC,Giwa,august,950,2023,0.6,0.7,180,90
Calabar-Municipal,CM+IPTp+IRS+IPTi,Nsit Ubium,june,1314,2023,0.6,0.7,180,90
Chanchaga,CM+IPTp+IRS+SMC,Keana,august,950,2023,0.6,0.7,180,90
Charanchi,CM+IPTp+IRS+SMC,Rimi,march,1160,2023,0.6,0.7,180,90
Chibok,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
Chikun,CM+IPTp+IRS+SMC,Soba,july,1286,2023,0.6,0.7,180,90
Damban,CM+IPTp+IRS+SMC,Darazo,july,1286,2023,0.6,0.7,180,90
