LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Damban,Darazo,2021,Damban,0.38490566,0.39,0.339130435,0.623376623,0.81015375,0.714922519,0.53,1,july,551
Damban,Darazo,2024,Damban,0.38490566,0.39,0.339130435,0.623376623,0.81015375,0.714922519,0.53,2,july,1646
Darazo,Darazo,2021,Darazo,0.457371605,0.400608656,0.425561838,0.626577205,0.786253294,0.705476275,0.53,1,july,551
Darazo,Darazo,2024,Darazo,0.457371605,0.400608656,0.425561838,0.626577205,0.786253294,0.705476275,0.53,2,july,1646
Dass,Alkaleri,2021,Dass,1,0.553846154,0.436363637,0.928301887,0.466190501,0.512538393,0.53,1,july,551
Dass,Alkaleri,2024,Dass,1,0.553846154,0.436363637,0.928301887,0.466190501,0.512538393,0.53,2,july,1646
Gamawa,Gwarzo,2021,Gamawa,0.581818182,0.3,0.4,0.761904762,0.770682387,0.698966685,0.53,1,august,588
Gamawa,Gwarzo,2024,Gamawa,0.581818182,0.3,0.4,0.761904762,0.770682387,0.698966685,0.53,2,august,1683
Jama'are,Taura,2021,Jama'are,0.647215452,0.533577602,0.62008136,0.95682063,0.749263424,0.689541118,0.53,1,july,551
Jama'are,Taura,2024,Jama'are,0.647215452,0.533577602,0.62008136,0.95682063,0.749263424,0.689541118,0.53,2,july,1646
Ganjuwa,Darazo,2021,Ganjuwa,0.69164087,0.29303371,0.369298463,0.74926179,0.647484501,0.636975276,0.53,1,july,551
Ganjuwa,Darazo,2024,Ganjuwa,0.69164087,0.29303371,0.369298463,0.74926179,0.647484501,0.636975276,0.53,2,july,1646
Giade,Darazo,2021,Giade,0.377142857,0.102857143,0.171428572,0.370588235,0.730326034,0.680743195,0.53,1,july,551
Giade,Darazo,2024,Giade,0.377142857,0.102857143,0.171428572,0.370588235,0.730326034,0.680743195,0.53,2,july,1646
Itas-Gadau,Taura,2021,Itas/Gadau,0.845311649,0.732229874,0.755793474,1,0.742973977,0.686667971,0.53,1,july,551
Itas-Gadau,Taura,2024,Itas/Gadau,0.845311649,0.732229874,0.755793474,1,0.742973977,0.686667971,0.53,2,july,1646
Katagum,Gwarzo,2021,Katagum,0.618459874,0.469387511,0.5184731,0.917556745,0.74547039,0.687814164,0.53,1,august,588
Katagum,Gwarzo,2024,Katagum,0.618459874,0.469387511,0.5184731,0.917556745,0.74547039,0.687814164,0.53,2,august,1683
Kirfi,Alkaleri,2021,Kirfi,0.733333333,0.189473684,0.232258064,0.580645162,0.704749265,0.668154735,0.53,1,july,551
Kirfi,Alkaleri,2024,Kirfi,0.733333333,0.189473684,0.232258064,0.580645162,0.704749265,0.668154735,0.53,2,july,1646
Misau,Darazo,2021,Misau,0.465796684,0.408780968,0.281369388,0.730969967,0.803277912,0.712271562,0.53,1,july,551
Misau,Darazo,2024,Misau,0.465796684,0.408780968,0.281369388,0.730969967,0.803277912,0.712271562,0.53,2,july,1646
Ningi,Takali,2021,Ningi,0.719496158,0.380623615,0.438294882,0.838858632,0.6738636,0.651854983,0.53,1,september,615
Ningi,Takali,2024,Ningi,0.719496158,0.380623615,0.438294882,0.838858632,0.6738636,0.651854983,0.53,2,september,1710
Ukum,Keana,2020,Ukum,0.483474076,0.410105294,0.490532336,0.333060329,0.383970395,0.446657171,0.53,1,august,223
Ukum,Keana,2023,Ukum,0.483474076,0.410105294,0.490532336,0.333060329,0.383970395,0.446657171,0.53,2,august,1318
Shira,Takali,2021,Shira,0.938129536,0.669818148,0.54044442,0.910643894,0.742991291,0.686675947,0.53,1,september,615
Shira,Takali,2024,Shira,0.938129536,0.669818148,0.54044442,0.910643894,0.742991291,0.686675947,0.53,2,september,1710
Tafawa-Balewa,Alkaleri,2021,Tafawa-Balewa,0.553705853,0.31658759,0.205609792,0.509383944,0.531148459,0.561175608,0.53,1,july,551
Tafawa-Balewa,Alkaleri,2024,Tafawa-Balewa,0.553705853,0.31658759,0.205609792,0.509383944,0.531148459,0.561175608,0.53,2,july,1646
Toro,Giwa,2021,Toro,0.578262133,0.30601444,0.290409052,0.758488477,0.625332185,0.623800515,0.53,1,august,588
Toro,Giwa,2024,Toro,0.578262133,0.30601444,0.290409052,0.758488477,0.625332185,0.623800515,0.53,2,august,1683
Warji,Takali,2021,Warji,1,0.355555555,0.468292682,1,0.680001753,0.655190649,0.53,1,september,615
Warji,Takali,2024,Warji,1,0.355555555,0.468292682,1,0.680001753,0.655190649,0.53,2,september,1710
Zaki,Taura,2021,Zaki,0.59803151,0.495137508,0.548391572,0.848272304,0.753604356,0.69149605,0.53,1,july,551
Zaki,Taura,2024,Zaki,0.59803151,0.495137508,0.548391572,0.848272304,0.753604356,0.69149605,0.53,2,july,1646
