LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
Idemili North,Uzo-Uwani,,0.622180482,0.622180482,0,-1,2018
Idemili South,Oru West,,0.306003708,0.306003708,0,-1,2018
Ido,Akinyele,,0.154926235,0.154926235,0,-1,2018
Idosi-Osi,Oke-Ero,,0.088017211,0.088017211,0,-1,2018
Ifako-Ijaye,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ife Central,Akinyele,,0.529411659,0.529411659,0,-1,2018
Ife East,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ife North,Akinyele,,0.5,0.5,0,-1,2018
Ife South,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ifedayo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ifedore,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ifelodun1,Oke-Ero,,0.139769018,0.139769018,0,-1,2018
Ifelodun2,Akinyele,,0.154926235,0.154926235,0,-1,2018
Ifo,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Igabi,Soba,,0.02049469,0.02049469,0,-1,2018
Igalamela-Odolu,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Igbo-Etiti,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Igbo-Eze North,Uzo-Uwani,,0.085378639,0.085378639,0,-1,2018
Igbo-Eze South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Igueben,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
Ihiala,Oru West,,0.289999974,0.289999974,0,-1,2018
Ihitte-Uboma,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
Ijebu East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ijebu North,Owan East,,0.278942779,0.278942779,0,-1,2018
Ijebu North East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ijebu ode,Owan East,,0.278942779,0.278942779,0,-1,2018
Ijero,Oke-Ero,,0.197871528,0.197871528,0,-1,2018
Ijumu,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
Ika,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
