DS,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Etsako West,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878,0.884361878
Igueben,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ikpoba-Okha,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466,0.81780466
Aninri,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Oredo,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Orhionmwon,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ovia North East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ovia South West,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Owan East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Owan West,0.645475247,0.690597273,0.735719299,0.780841326,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Uhunmwonde,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ado Ekiti,0.494620604,0.53974263,0.584864657,0.629986683,0.675108709,0.720230735,0.765352761,0.8,0.8,0.8,0.8
Efon-Alayee,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti East,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti South West,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Awgu,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ekiti West,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Emure,0.634663413,0.67978544,0.724907466,0.770029492,0.8,0.8,0.8,0.8,0.8,0.8,0.8
