"","seasonality","month","cases","sum_est","sum_l_ci","sum_u_ci","X","repDS_pop","incidence","incidence_low","incidence_high","population"
"208","Rimi",4,2270,2270,1658.24353243595,3613.35796518624,18,4269460,56.75,41.4560883108988,90.3339491296559,1000
"209","Rimi",5,2298.6,2298.6,1639.10503900824,3143.64866891077,18,4269460,57.465,40.9776259752061,78.5912167227692,1000
"210","Rimi",6,1738.6,1738.6,1187.41167812572,2454.6,18,4269460,43.465,29.6852919531429,61.365,1000
"211","Rimi",7,2651.6,2651.6,1943.42499932579,3391.73468544487,18,4269460,66.29,48.5856249831447,84.7933671361218,1000
"212","Rimi",8,3159.4,3159.4,2193.26391947282,4353.66062910168,18,4269460,78.985,54.8315979868204,108.841515727542,1000
"213","Rimi",9,2558.4,2558.4,1749.30097060302,3570.6245985911,18,4269460,63.96,43.7325242650755,89.2656149647774,1000
"214","Rimi",10,3317,3317,2402.2,4593.82182066343,18,4269460,82.925,60.055,114.845545516586,1000
"215","Rimi",11,2762.8,2762.8,1873.76385147157,3984.4995203306,18,4269460,69.07,46.8440962867892,99.6124880082649,1000
"216","Rimi",12,2506.8,2506.8,1843.70887043359,3242.40936813345,18,4269460,62.67,46.0927217608398,81.0602342033363,1000
"217","Soba",1,3310.6,3310.6,2077.3198372314,5121.87671863341,19,8113112,82.765,51.9329959307849,128.046917965835,1000
"218","Soba",2,3255.8,3255.8,2170.46998194356,4776.29888847009,19,8113112,81.395,54.2617495485889,119.407472211752,1000
"219","Soba",3,3022.8,3022.8,1983.97840309054,4614.38321433604,19,8113112,75.57,49.5994600772634,115.359580358401,1000
"220","Soba",4,3500.6,3500.6,2298.4,5331.87837580472,19,8113112,87.515,57.46,133.296959395118,1000
"221","Soba",5,3493.8,3493.8,2237.25162633948,5753.13955343701,19,8113112,87.345,55.9312906584869,143.828488835925,1000
"222","Soba",6,3651.6,3651.6,2553.10214362767,5072.4,19,8113112,91.29,63.8275535906916,126.81,1000
"223","Soba",7,3967.4,3967.4,2718.33719364192,5692.10381144455,19,8113112,99.185,67.9584298410481,142.302595286114,1000
